"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3"
0,0,0.000569274695467809,0.0153395460868169,0.00153395460868169,0.1,0.1,0.8,0.3,0.8,7.52645311538212e-05,0.3,0.00101555834152833,0.1,0.00114716748855527
1,1,0.000547172273905477,0.0135047360714771,0.00135047360714771,0.1,0.101147167488555,0.800075264531154,0.301015558341528,0.800075264531154,0.000102969667915212,0.301015558341528,0.000948561812258488,0.101147167488555,0.000955723129058242
2,2,0.000529974770655331,0.0119919023025169,0.00119919023025169,0.1,0.102102890617614,0.800178234199069,0.301964120153787,0.800178234199069,0.000127251868189323,0.301964120153787,0.000890450750596658,0.102102890617614,0.000793071012668652
3,3,0.000516353154747911,0.0107542597840207,0.00107542597840207,0.1,0.102895961630282,0.800305486067258,0.302854570904384,0.800305486067258,0.000148508641213524,0.302854570904384,0.000839979344410796,0.102895961630282,0.000654920544394637
4,4,0.000505342430709379,0.00975032445192621,0.000975032445192622,0.1,0.103550882174677,0.800453994708472,0.303694550248794,0.800453994708472,0.000167100649040998,0.303694550248794,0.00079607267397048,0.103550882174677,0.000537618768297638
5,5,0.000496241907252418,0.00894303645428392,0.000894303645428393,0.1,0.104088500942974,0.800621095357513,0.304490622922765,0.800621095357513,0.00018335150028397,0.304490622922765,0.000757804962132553,0.104088500942974,0.00043805579203728
6,6,0.000488542755704302,0.00829924032188235,0.000829924032188235,0.1,0.104526556735012,0.800804446857797,0.305248427884897,0.800804446857797,0.000197549142364386,0.305248427884897,0.000724380051550695,0.104526556735012,0.000353584185831448
7,7,0.000481875405952668,0.00778946579326711,0.000778946579326711,0.1,0.104880140920843,0.801001996000161,0.305972807936448,0.801001996000161,0.000209948171406764,0.305972807936448,0.000695114061833167,0.104880140920843,0.000281950314434185
8,8,0.000475971356590603,0.00738788956266869,0.000738788956266869,0.1,0.105162091235277,0.801211944171568,0.306667921998281,0.801211944171568,0.000220772607150648,0.306667921998281,0.000669420105218586,0.105162091235277,0.000221235848277202
9,9,0.00047063545492771,0.00707233409761329,0.00070723340976133,0.1,0.105383327083555,0.801432716778719,0.3073373421035,0.801432716778719,0.00023021883772322,0.3073373421035,0.000646794899641778,0.105383327083555,0.000169807951631803
10,10,0.000465725779648662,0.00682418835375564,0.000682418835375564,0.1,0.105553135035186,0.801662935616442,0.307984137003142,0.801662935616442,0.000238458547139387,0.307984137003142,0.000626807100946576,0.105553135035186,0.000126276863971443
11,11,0.000461139042753742,0.00662819725888055,0.000662819725888055,0.1,0.105679411899158,0.801901394163581,0.308610944104088,0.801901394163581,0.00024564151194172,0.308610944104088,0.000609087173234973,0.105679411899158,8.94597788837662e-05
12,12,0.000456799997504736,0.00647212812643321,0.000647212812643321,0.1,0.105768871678042,0.802147035675523,0.309220031277323,0.802147035675523,0.000251898202938175,0.309220031277323,0.000593318622350979,0.105768871678042,5.83500863558323e-05
13,13,0.000452653753512535,0.00634635896496478,0.000634635896496478,0.1,0.105827221764397,0.802398933878461,0.309813349899674,0.802398933878461,0.000257342160886363,0.309813349899674,0.000579230428554502,0.105827221764397,3.20911824150047e-05
14,14,0.00044866020122623,0.00624344229275695,0.000624344229275695,0.1,0.105859312946812,0.802656276039348,0.310392580328229,0.802656276039348,0.00026207213635836,0.310392580328229,0.000566590528081945,0.105859312946812,9.95416808426295e-06
15,15,0.000444789966811807,0.00615768812144281,0.000615768812144281,0.1,0.105869267114897,0.802918348175706,0.310959170856311,0.802918348175706,0.000266173997502531,0.310959170856311,0.000555200207920776,0.105869267114897,-8.68113977701601e-06
16,16,0.000441021477240442,0.00608479313693035,0.000608479313693035,0.1,0.10586058597512,0.803184522173208,0.311514371064231,0.803184522173208,0.000269722417518936,0.311514371064231,0.000544889292738047,0.10586058597512,-2.43423774417948e-05
17,17,0.000437338830715395,0.00602152776083234,0.000602152776083234,0.1,0.105836243597678,0.803454244590727,0.312059260356969,0.803454244590727,0.000272782358140883,0.312059260356969,0.000535512016889216,0.105836243597678,-3.74784017680694e-05
18,18,0.000433730251260302,0.00596548194661243,0.000596548194661243,0.1,0.10579876519591,0.803727026948868,0.312594772373859,0.803727026948868,0.000275410367488595,0.312594772373859,0.000526943487451572,0.10579876519591,-4.84710126339388e-05
19,19,0.000430186967027353,0.0059148643879006,0.00059148643879006,0.1,0.105750294183276,0.804002437316357,0.31312171586131,0.804002437316357,0.000277655711177783,0.31312171586131,0.000519076656108166,0.105750294183276,-5.76449339185337e-05
20,20,0.000426702395952059,0.00586834714800991,0.000586834714800991,0.1,0.105692649249357,0.804280093027534,0.313640792517418,0.804280093027534,0.000279561355107561,0.313640792517418,0.000511819728400203,0.105692649249357,-6.52763115251362e-05
21,21,0.000423271554351193,0.00582494724290092,0.000582494724290092,0.1,0.105627372937832,0.804559654382642,0.314152612245819,0.804559654382642,0.000281164817313945,0.314152612245819,0.000505093948384595,0.105627372937832,-7.1599948574465e-05
22,22,0.000419890627251184,0.00578393738756875,0.000578393738756875,0.1,0.105555772989258,0.804840819199956,0.314657706194203,0.804840819199956,0.000282498904924783,0.314657706194203,0.000498831705138407,0.105555772989258,-7.68154652278019e-05
