"iter","time","loss","grad_norm","speed","eta","b","w1","w2","theta1","theta_dot1","theta2","theta_dot2","theta3","theta_dot3","loss_suav","grad_suav","speed_suav","delta_loss","reduccion_relativa","delta_grad","delta_speed","delta_loss_suav","delta_grad_suav","delta_speed_suav","regimen"
0,0,0.000569274695467809,0.0153395460868169,0.00153395460868169,0.1,0.1,0.8,0.3,0.8,7.52645311538212e-05,0.3,0.00101555834152833,0.1,0.00114716748855527,0.000569274695467809,0.0153395460868169,0.00153395460868169,NA,NA,NA,NA,NA,NA,NA,"Ajuste inicial"
1,1,0.000547172273905477,0.0135047360714771,0.00135047360714771,0.1,0.101147167488555,0.800075264531154,0.301015558341528,0.800075264531154,0.000102969667915212,0.301015558341528,0.000948561812258488,0.101147167488555,0.000955723129058242,0.000558223484686643,0.014422141079147,0.0014422141079147,-2.2102421562332e-05,0.0388255822706882,-0.00183481001533974,-0.000183481001533974,-1.10512107811661e-05,-0.000917405007669868,-9.1740500766987e-05,"Descenso dirigido"
2,2,0.000529974770655331,0.0119919023025169,0.00119919023025169,0.1,0.102102890617614,0.800178234199069,0.301964120153787,0.800178234199069,0.000127251868189323,0.301964120153787,0.000890450750596658,0.102102890617614,0.000793071012668652,0.000548807246676206,0.013612061486937,0.0013612061486937,-1.71975032501466e-05,0.03142977822317,-0.0015128337689602,-0.00015128337689602,-9.41623801043747e-06,-0.000810079592210022,-8.10079592210022e-05,"Descenso dirigido"
3,3,0.000516353154747911,0.0107542597840207,0.00107542597840207,0.1,0.102895961630282,0.800305486067258,0.302854570904384,0.800305486067258,0.000148508641213524,0.302854570904384,0.000839979344410796,0.102895961630282,0.000654920544394637,0.000540693723694132,0.0128976110612079,0.00128976110612079,-1.36216159074197e-05,0.0257023855397376,-0.00123764251849623,-0.000123764251849623,-8.11352298207369e-06,-0.00071445042572907,-7.14450425729068e-05,"Descenso dirigido"
4,4,0.000505342430709379,0.00975032445192621,0.000975032445192622,0.1,0.103550882174677,0.800453994708472,0.303694550248794,0.800453994708472,0.000167100649040998,0.303694550248794,0.00079607267397048,0.103550882174677,0.000537618768297638,0.000533623465097181,0.0122681537393516,0.00122681537393516,-1.10107240385324e-05,0.0213240180987833,-0.00100393533209447,-0.000100393533209447,-7.07025859695068e-06,-0.000629457321856335,-6.29457321856338e-05,"Descenso dirigido"
5,5,0.000496241907252418,0.00894303645428392,0.000894303645428393,0.1,0.104088500942974,0.800621095357513,0.304490622922765,0.800621095357513,0.00018335150028397,0.304490622922765,0.000757804962132553,0.104088500942974,0.00043805579203728,0.000519016907454103,0.010988851812845,0.0010988851812845,-9.1005234569611e-06,0.0180086271920162,-0.00080728799764229,-8.0728799764229e-05,-1.46065576430783e-05,-0.00127930192650659,-0.000127930192650659,"Descenso dirigido"
6,6,0.000488542755704302,0.00829924032188235,0.000829924032188235,0.1,0.104526556735012,0.800804446857797,0.305248427884897,0.800804446857797,0.000197549142364386,0.305248427884897,0.000724380051550695,0.104526556735012,0.000353584185831448,0.000507291003813868,0.00994775266292602,0.000994775266292602,-7.69915154811597e-06,0.0155149160521923,-0.000643796132401571,-6.4379613240157e-05,-1.17259036402352e-05,-0.00104109914991895,-0.000104109914991895,"Descenso dirigido"
7,7,0.000481875405952668,0.00778946579326711,0.000778946579326711,0.1,0.104880140920843,0.801001996000161,0.305972807936448,0.801001996000161,0.000209948171406764,0.305972807936448,0.000695114061833167,0.104880140920843,0.000281950314434185,0.000497671130873335,0.00910726536107606,0.000910726536107606,-6.66734975163317e-06,0.0136474231991709,-0.000509774528615242,-5.09774528615242e-05,-9.61987294053246e-06,-0.000840487301849963,-8.40487301849961e-05,"Descenso dirigido"
8,8,0.000475971356590603,0.00738788956266869,0.000738788956266869,0.1,0.105162091235277,0.801211944171568,0.306667921998281,0.801211944171568,0.000220772607150648,0.306667921998281,0.000669420105218586,0.105162091235277,0.000221235848277202,0.000489594771241874,0.00843399131680566,0.000843399131680566,-5.9040493620651e-06,0.0122522321680654,-0.00040157623059842,-4.0157623059842e-05,-8.07635963146153e-06,-0.000673274044270398,-6.73274044270399e-05,"Descenso dirigido"
9,9,0.00047063545492771,0.00707233409761329,0.00070723340976133,0.1,0.105383327083555,0.801432716778719,0.3073373421035,0.801432716778719,0.00023021883772322,0.3073373421035,0.000646794899641778,0.105383327083555,0.000169807951631803,0.00048265337608554,0.00789839324594308,0.000789839324594308,-5.3359016628933e-06,0.0112105520170457,-0.000315555465055397,-3.15555465055398e-05,-6.94139515633371e-06,-0.000535598070862585,-5.35598070862584e-05,"Descenso dirigido"
10,10,0.000465725779648662,0.00682418835375564,0.000682418835375564,0.1,0.105553135035186,0.801662935616442,0.307984137003142,0.801662935616442,0.000238458547139387,0.307984137003142,0.000626807100946576,0.105553135035186,0.000126276863971443,0.000476550150564789,0.00747462362583742,0.000747462362583742,-4.90967527904784e-06,0.0104320131796487,-0.000248145743857655,-2.48145743857655e-05,-6.10322552075109e-06,-0.000423769620105657,-4.23769620105656e-05,"Descenso dirigido"
11,11,0.000461139042753742,0.00662819725888055,0.000662819725888055,0.1,0.105679411899158,0.801901394163581,0.308610944104088,0.801901394163581,0.00024564151194172,0.308610944104088,0.000609087173234973,0.105679411899158,8.94597788837662e-05,0.000471069407974677,0.00714041501323706,0.000714041501323706,-4.58673689492003e-06,0.00984857846720795,-0.000195991094875092,-1.95991094875091e-05,-5.48074259011189e-06,-0.000334208612600361,-3.34208612600362e-05,"Refinamiento"
12,12,0.000456799997504736,0.00647212812643321,0.000647212812643321,0.1,0.105768871678042,0.802147035675523,0.309220031277323,0.802147035675523,0.000251898202938175,0.309220031277323,0.000593318622350979,0.105768871678042,5.83500863558323e-05,0.000466054326285091,0.00687694747987028,0.000687694747987028,-4.33904524900611e-06,0.00940940765649687,-0.000156069132447339,-1.5606913244734e-05,-5.01508168958644e-06,-0.00026346753336678,-2.6346753336678e-05,"Refinamiento"
