"eta","costo","loss_plus","pen_eta","pen_desplazamiento","desplazamiento"
0.01,0.000566935954079811,0.000566935954079811,0,0,0.000153395460868176
0.02,0.000564625764339515,0.000564625764339515,0,0,0.000306790921736335
0.03,0.00056234412765509,0.00056234412765509,0,0,0.000460186382604511
0.04,0.000560091045430855,0.000560091045430855,0,0,0.000613581843472676
0.05,0.000557866519067277,0.000557866519067277,0,0,0.000766977304340851
0.06,0.000555670549960964,0.000555670549960964,0,0,0.000920372765209011
0.07,0.000553503139504668,0.000553503139504668,0,0,0.00107376822607719
0.08,0.000551364289087284,0.000551364289087284,0,0,0.00122716368694535
0.09,0.000549254000093835,0.000549254000093835,0,0,0.00138055914781352
0.1,0.000547172273905477,0.000547172273905477,0,0,0.00153395460868169
