"iter","loss","grad_norm","eta","speed","kappa","lambda_min","lambda_max","costo_local","accion_eta","b","w1","w2","theta1","theta2","theta3"
0,0.000569274695467809,0.0153395460868169,0.0451804633936658,0.000693047800450879,1.21334604580483,0.06026316677927,1.4862618535032,NA,"ajuste_por_curvatura",0.1,0.8,0.3,0.8,0.3,0.1
1,0.000558935072770382,0.0145036468672808,0.0457963977114549,0.000664214780200489,1.18357785758742,0.0601437972008888,1.48641418274665,NA,"ajuste_por_curvatura",0.100518295587231,0.800034004863946,0.300458833964735,0.800034004863946,0.300458833964735,0.100518295587231
2,0.000549562640855441,0.013722771078478,0.0464910712972688,0.000637986328605619,1.15095064943954,0.0600295367076453,1.48656062050332,NA,"ajuste_por_curvatura",0.101004045048961,0.800074189137003,0.300910069999272,0.800074189137003,0.300910069999272,0.101004045048961
3,0.000541041950071341,0.012994026874754,0.0472741908671533,0.000614282106610038,1.1153191237268,0.059919994094126,1.48670164471353,NA,"ajuste_por_curvatura",0.101459171315817,0.800120540002288,0.301354747673541,0.800120540002288,0.301354747673541,0.101459171315817
4,0.000533270394043481,0.0123147295597519,0.0481564321230723,0.000593033438158186,1.07656580006659,0.0598147978080445,1.48683770253917,NA,"ajuste_por_curvatura",0.101885449476151,0.800173085463561,0.301793915535551,0.800173085463561,0.301793915535551,0.101885449476151
5,0.000526156667171796,0.0116823918261073,0.0491494002954957,0.000574182552270174,1.03461282129142,0.059713594400866,1.4869692112815,NA,"ajuste_por_curvatura",0.10228450860426,0.800231897761935,0.302228635657707,0.800231897761935,0.302228635657707,0.10228450860426
6,0.000519619399945311,0.0110947140298997,0.0502655059479665,0.00055768141406091,0.98943585892714,0.059616046979665,1.48709655989739,NA,"ajuste_por_curvatura",0.10265783215651,0.800297096905197,0.302659987254881,0.800297096905197,0.302659987254881,0.10265783215651
7,0.000513585954032509,0.0105495740550205,0.0515177132179652,0.000543489930738234,0.94107994617137,0.0595218358286765,1.48722010897966,NA,"ajuste_por_curvatura",0.103006756906047,0.800368854118856,0.303089068810109,0.800368854118856,0.303089068810109,0.103006756906047
8,0.000507991362577732,0.0100450161589752,0.0529191038412565,0.000531573253203905,0.889676746982979,0.0594306579847447,1.48734019035133,NA,"ajuste_por_curvatura",0.103332470469701,0.800447394902267,0.30351699792177,0.800447394902267,0.30351699792177,0.103332470469701
9,0.000502777404676417,0.00957923799149685,0.0544821866717319,0.000521897832425678,0.835462306285973,0.0593422269813621,1.48745710482051,NA,"ajuste_por_curvatura",0.103636007632257,0.80053300119796,0.303944907814864,0.80053300119796,0.303944907814864,0.103636007632257
10,0.000497891806621117,0.00915057475351492,0.0562178735905233,0.000514425854773736,0.7787937112025,0.059256274511367,1.48757111914665,NA,"ajuste_por_curvatura",0.103918245926071,0.800626011950912,0.304373939157344,0.800626011950912,0.304373939157344,0.103918245926071
