"escenario","t","s"
"base",1,-0.761594155955765
"base",2,-0.739202088998597
"base",3,-0.715047069589021
"base",4,-0.689054805687363
"base",5,-0.661160049762911
"base",6,-0.631309103158359
"base",7,-0.599462456888158
"base",8,-0.565597495399194
"base",9,-0.529711169485922
"base",10,-0.491822525420608
"base",11,-0.451974961446917
"base",12,-0.410238072369237
"base",13,-0.366708940375566
"base",14,-0.321512737531634
"base",15,-0.27480252404547
"base",16,-0.226758156925052
"base",17,-0.177584265268619
"base",18,-0.127507298933957
"base",19,-0.0767717131252814
"base",20,-0.0256354077834247
"base",21,0.0256354077834246
"base",22,0.0767717131252813
"base",23,0.127507298933957
"base",24,0.177584265268619
"base",25,0.226758156925052
"base",26,0.27480252404547
"base",27,0.321512737531634
"base",28,0.366708940375566
"base",29,0.410238072369237
"base",30,0.451974961446917
"base",31,0.491822525420608
"base",32,0.529711169485922
"base",33,0.565597495399194
"base",34,0.599462456888158
"base",35,0.631309103158359
"base",36,0.661160049762911
"base",37,0.689054805687363
"base",38,0.715047069589021
"base",39,0.739202088998597
"base",40,0.761594155955765
"shock",1,-0.761594155955765
"shock",2,-0.739202088998597
"shock",3,-0.715047069589021
"shock",4,-0.689054805687363
"shock",5,-0.661160049762911
"shock",6,-0.631309103158359
"shock",7,-0.599462456888158
"shock",8,-0.565597495399194
"shock",9,-0.529711169485922
"shock",10,-0.491822525420608
"shock",11,-0.451974961446917
"shock",12,-0.410238072369237
"shock",13,-0.366708940375566
"shock",14,-0.321512737531634
"shock",15,-0.27480252404547
"shock",16,-0.226758156925052
"shock",17,-0.177584265268619
"shock",18,-0.127507298933957
"shock",19,-0.0767717131252814
"shock",20,-0.0256354077834247
"shock",21,-0.124364592216575
"shock",22,-0.0732282868747187
"shock",23,-0.0224927010660433
"shock",24,0.0275842652686186
"shock",25,0.0767581569250519
"shock",26,0.12480252404547
"shock",27,0.171512737531634
"shock",28,0.216708940375566
"shock",29,0.260238072369237
"shock",30,0.301974961446917
"shock",31,0.341822525420608
"shock",32,0.379711169485922
"shock",33,0.415597495399194
"shock",34,0.449462456888158
"shock",35,0.481309103158359
"shock",36,0.511160049762911
"shock",37,0.539054805687363
"shock",38,0.565047069589021
"shock",39,0.589202088998596
"shock",40,0.611594155955765
"recuperacion",1,-0.761594155955765
"recuperacion",2,-0.739202088998597
"recuperacion",3,-0.715047069589021
"recuperacion",4,-0.689054805687363
"recuperacion",5,-0.661160049762911
"recuperacion",6,-0.631309103158359
"recuperacion",7,-0.599462456888158
"recuperacion",8,-0.565597495399194
"recuperacion",9,-0.529711169485922
"recuperacion",10,-0.491822525420608
"recuperacion",11,-0.451974961446917
"recuperacion",12,-0.410238072369237
"recuperacion",13,-0.366708940375566
"recuperacion",14,-0.321512737531634
"recuperacion",15,-0.27480252404547
"recuperacion",16,-0.226758156925052
"recuperacion",17,-0.177584265268619
"recuperacion",18,-0.127507298933957
"recuperacion",19,-0.0767717131252814
"recuperacion",20,-0.0256354077834247
"recuperacion",21,0.125635407783425
"recuperacion",22,0.176771713125281
"recuperacion",23,0.227507298933957
"recuperacion",24,0.277584265268619
"recuperacion",25,0.326758156925052
"recuperacion",26,0.37480252404547
"recuperacion",27,0.421512737531634
"recuperacion",28,0.466708940375566
"recuperacion",29,0.510238072369237
"recuperacion",30,0.551974961446917
"recuperacion",31,0.591822525420608
"recuperacion",32,0.629711169485922
"recuperacion",33,0.665597495399194
"recuperacion",34,0.699462456888158
"recuperacion",35,0.731309103158359
"recuperacion",36,0.761160049762911
"recuperacion",37,0.789054805687363
"recuperacion",38,0.815047069589021
"recuperacion",39,0.839202088998596
"recuperacion",40,0.861594155955765
